# Copyright (C) 2019  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 19.1.0 Build 670 09/22/2019 SJ Standard Edition
# File: /u/home/stud/flxbrggr/dev/HDS/RISCV/riscv_v2.csv
# Generated on: Tue Jul 19 13:25:08 2022

Status,From,To,Assignment Name,Value,Enabled,Entity,Comment,Tag
Ok,,clk,Location,PIN_R20,Yes,,,
Ok,,clk,I/O Standard,2.5 V,Yes,riscv,,
Ok,,hex_disp0[6],Location,PIN_Y18,Yes,,,
Ok,,hex_disp0[6],I/O Standard,2.5 V,Yes,riscv,,
Ok,,hex_disp0[5],Location,PIN_Y19,Yes,,,
Ok,,hex_disp0[5],I/O Standard,2.5 V,Yes,riscv,,
Ok,,hex_disp0[4],Location,PIN_Y20,Yes,,,
Ok,,hex_disp0[4],I/O Standard,2.5 V,Yes,riscv,,
Ok,,hex_disp0[3],Location,PIN_W18,Yes,,,
Ok,,hex_disp0[3],I/O Standard,2.5 V,Yes,riscv,,
Ok,,hex_disp0[2],Location,PIN_V17,Yes,,,
Ok,,hex_disp0[2],I/O Standard,2.5 V,Yes,riscv,,
Ok,,hex_disp0[1],Location,PIN_V18,Yes,,,
Ok,,hex_disp0[1],I/O Standard,2.5 V,Yes,riscv,,
Ok,,hex_disp0[0],Location,PIN_V19,Yes,,,
Ok,,hex_disp0[0],I/O Standard,2.5 V,Yes,riscv,,
Ok,,hex_disp1[6],Location,PIN_AF24,Yes,,,
Ok,,hex_disp1[6],I/O Standard,2.5 V,Yes,riscv,,
Ok,,hex_disp1[5],Location,PIN_AC19,Yes,,,
Ok,,hex_disp1[5],I/O Standard,2.5 V,Yes,riscv,,
Ok,,hex_disp1[4],Location,PIN_AE25,Yes,,,
Ok,,hex_disp1[4],I/O Standard,2.5 V,Yes,riscv,,
Ok,,hex_disp1[3],Location,PIN_AE26,Yes,,,
Ok,,hex_disp1[3],I/O Standard,2.5 V,Yes,riscv,,
Ok,,hex_disp1[2],Location,PIN_AB19,Yes,,,
Ok,,hex_disp1[2],I/O Standard,2.5 V,Yes,riscv,,
Ok,,hex_disp1[1],Location,PIN_AD26,Yes,,,
Ok,,hex_disp1[1],I/O Standard,2.5 V,Yes,riscv,,
Ok,,hex_disp1[0],Location,PIN_AA18,Yes,,,
Ok,,hex_disp1[0],I/O Standard,2.5 V,Yes,riscv,,
Ok,,hex_disp2[6],Location,PIN_W20,Yes,,,
Ok,,hex_disp2[6],I/O Standard,2.5 V,Yes,riscv,,
Ok,,hex_disp2[5],Location,PIN_W21,Yes,,,
Ok,,hex_disp2[5],I/O Standard,2.5 V,Yes,riscv,,
Ok,,hex_disp2[4],Location,PIN_V20,Yes,,,
